POINTID,MDE,ASPECTB,HARB,PMA,TMEDPROM,EVI
3508,2180,1.3032,30,897,17.64,0.610312
3509,2174,1.9908,22,896,17.68,0.437048
3510,2157,1.4527,21,896,17.67,0.458478
3511,2198,0.7574,23,896,17.63,0.381586
3512,2195,1.924,19,897,17.58,0.458121
3513,2189,1.9935,17,897,17.56,0.388716
3514,2191,1.1321,21,897,17.55,0.389686
3515,2179,1.7198,26,897,17.55,0.437716
3516,2185,0.5693,20,898,17.54,0.445778
3517,2200,1.9915,17,896,17.54,0.477183
3518,2167,1.8944,13,896,17.59,0.487124
3519,2148,1.6791,19,894,17.67,0.47542
3520,2159,1.1321,14,893,17.71,0.390619
3521,2142,1.7568,20,892,17.75,0.403522
3522,2142,1.4594,17,892,17.81,0.367698
3523,2108,1.9914,13,890,17.85,0.390204
3524,2088,1.278,13,888,17.93,0.33947
3525,2048,1.9529,17,889,17.98,0.38153
3527,2046,0.3186,21,889,17.91,0.304806
3528,2120,0.2929,10,891,17.81,0.251156
3529,2116,1.9506,14,890,17.83,0.306469
3530,2075,1.7328,19,889,17.87,0.319838
3531,2043,1.8283,20,889,17.9,0.345579
3532,2077,0.4187,21,888,17.92,0.37417
3533,2089,1.294,20,887,17.95,0.312411
3534,2093,1.998,17,887,18.06,0.316278
3535,2003,1.9998,14,881,18.31,0.311022
3536,1922,1.9999,12,876,18.57,0.304707
3538,1813,1.6887,22,873,18.74,0.295738
3549,1707,1.6147,16,865,19.17,0.276932
3550,1745,0.1199,12,867,18.96,0.239684
3554,1837,1.6402,9,869,18.91,0.287606
3612,2029,1.1168,17,895,18.17,0.532698
3613,2034,1.5408,21,894,18.16,0.46883
3614,2023,1.9683,23,894,18.17,0.422404
3615,2019,0.706,24,894,18.16,0.449006
3616,2043,1.6508,21,894,18.13,0.466624
3617,2044,0.2,24,894,18.1,0.456809
3618,2056,0.9336,21,894,18.1,0.443554
3619,2057,1.9701,21,894,18.12,0.447032
3620,2043,1.9333,22,892,18.16,0.458341
3621,2028,1.7071,18,890,18.19,0.337331
3623,2008,0.331,15,890,18.2,0.406734
3624,2079,0.0629,22,890,18.12,0.348934
3625,2063,0.2358,18,893,17.96,0.321152
3626,2116,0.0775,20,895,17.82,0.35233
3627,2153,0.0667,17,899,17.67,0.291518
3628,2175,1.1858,24,901,17.58,0.612149
3629,2183,1.6476,21,901,17.55,0.447395
3630,2211,0.8389,21,902,17.54,0.4794
3631,2223,0.6061,23,901,17.51,0.518024
3632,2204,1.9487,26,901,17.54,0.522882
3633,2205,1.1357,29,900,17.57,0.512106
3634,2212,1.9984,25,899,17.59,0.479704
3635,2180,1.8993,22,898,17.62,0.552321
3636,2161,1.1544,15,898,17.6,0.378491
3637,2193,1.1272,17,898,17.54,0.400158
3638,2217,1.0922,24,900,17.47,0.510467
3639,2226,1.8051,27,901,17.45,0.561616
3640,2213,1.3417,28,899,17.49,0.64849
